RECORDID,PERS_N,J_0_6_P,J_7_15_P,J_16_19_P,J_20_24_P,J_25_44_P,J_45_64_P,J_65_79_P,J_80PLUS_P,ALTERSQUOT,JUGENDQUOT,GESAMTQUOT,MANN_N,FRAU_N,FRAU_P,SCHWEIZ_N,AUSLAND_N,AUSLAND_P,FLAECHE_HA,DICHTE_PHA,STICHTAG,E,N
1447877,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,20230630,2683750,1246650
1437422,13,0,0,15.4,0,23.1,61.5,0,0,0,18.2,18.2,6,7,53.8,5,8,61.5,1,13,20230630,2683850,1246750
1424097,16,0,0,0,0,50,25,0,25,33.3,0,33.3,7,9,56.3,10,6,37.5,1,16,20230630,2683850,1247150
1430734,70,0,2.9,1.4,10,48.6,18.6,8.6,10,24.1,5.6,29.6,37,33,47.1,34,36,51.4,1,70,20230630,2683950,1247150
1445691,78,5.1,0,1.3,3.8,62.8,19.2,5.1,2.6,9,7.5,16.4,38,40,51.3,47,31,39.7,1,78,20230630,2683750,1248250
1436288,101,8.9,9.9,3,5.9,25.7,29.7,11.9,5,27.4,35.5,62.9,41,60,59.4,73,28,27.7,1,101,20230630,2683850,1248550
1417068,98,5.1,11.2,0,3.1,39.8,27.6,12.2,1,18.8,23.2,42,51,47,48,58,40,40.8,1,98,20230630,2683750,1248750
1426126,70,12.9,7.1,4.3,2.9,25.7,27.1,17.1,2.9,35.9,43.6,79.5,34,36,51.4,60,10,14.3,1,70,20230630,2683850,1249150
1421220,162,5.6,6.2,1.2,5.6,48.1,24.1,5.6,3.7,11.9,16.7,28.6,88,74,45.7,86,76,46.9,1,162,20230630,2683950,1250750
1434878,145,9.7,6.9,1.4,1.4,31.7,20.7,19.3,9,52.6,33.3,85.9,74,71,49,106,39,26.9,1,145,20230630,2683850,1250950
1422069,145,4.8,2.8,2.1,7.6,69,11.7,1.4,0.7,2.3,10.9,13.3,87,58,40,46,99,68.3,1,145,20230630,2683750,1251250
1422038,108,3.7,3.7,0,11.1,57.4,13,7.4,3.7,13.6,9.1,22.7,54,54,50,55,53,49.1,1,108,20230630,2683850,1251450
1432513,7,0,0,0,0,42.9,14.3,28.6,14.3,75,0,75,-999,-999,-999,-999,-999,-999,1,7,20230630,2683850,1251750
1413202,62,1.6,1.6,0,3.2,61.3,24.2,4.8,3.2,9.1,3.6,12.7,38,24,38.7,31,31,50,1,62,20230630,2683750,1252050
1412171,31,3.2,3.2,6.5,0,54.8,25.8,6.5,0,8,16,24,19,12,38.7,17,14,45.2,1,31,20230630,2683950,1252250
1425984,99,6.1,12.1,1,11.1,33.3,20.2,12.1,4,25,29.7,54.7,52,47,47.5,61,38,38.4,1,99,20230630,2683850,1252750
1426969,8,0,0,0,0,50,12.5,37.5,0,60,0,60,4,4,50,4,4,50,1,8,20230630,2683950,1252650
1412195,94,6.4,9.6,2.1,6.4,43.6,20.2,10.6,1.1,16.7,25.8,42.4,51,43,45.7,48,46,48.9,1,94,20230630,2683950,1252750
1436143,167,9,10.8,3,4.8,23.4,20.4,19.8,9,59.3,46.9,106.2,68,99,59.3,134,33,19.8,1,167,20230630,2683750,1252950
1443891,165,3,1.2,2.4,7.3,49.7,26.7,6.1,3.6,11.6,8,19.6,90,75,45.5,65,100,60.6,1,165,20230630,2683950,1252850
1436911,23,0,0,0,0,30.4,21.7,34.8,13,91.7,0,91.7,11,12,52.2,-999,-999,-999,1,23,20230630,2683950,1253350
1416097,151,6.6,11.3,1.3,3.3,37.7,27.2,10.6,2,18.4,28.2,46.6,70,81,53.6,72,79,52.3,1,151,20230630,2684050,1237650
1419391,9,0,0,0,0,22.2,0,33.3,44.4,350,0,350,-999,-999,-999,-999,-999,-999,1,9,20230630,2684250,1237750
1443094,4,0,0,0,25,25,25,0,25,33.3,0,33.3,-999,-999,-999,-999,-999,-999,1,4,20230630,2684050,1238050
1415577,6,0,0,0,0,0,50,50,0,100,0,100,-999,-999,-999,-999,-999,-999,1,6,20230630,2684150,1237950
1422789,13,0,0,0,7.7,23.1,38.5,15.4,15.4,44.4,0,44.4,6,7,53.8,9,4,30.8,1,13,20230630,2684150,1238650
1440271,70,4.3,30,5.7,0,11.4,38.6,8.6,1.4,20,80,100,35,35,50,56,14,20,1,70,20230630,2684150,1238850
1421472,12,0,8.3,25,16.7,0,50,0,0,0,50,50,5,7,58.3,-999,-999,-999,1,12,20230630,2684050,1240350
1443809,47,2.1,8.5,0,4.3,21.3,38.3,12.8,12.8,40,16.7,56.7,20,27,57.4,35,12,25.5,1,47,20230630,2684250,1240250
1436188,71,12.7,11.3,2.8,4.2,23.9,26.8,9.9,8.5,33.3,48.7,82.1,37,34,47.9,55,16,22.5,1,71,20230630,2684250,1241050
1430351,77,3.9,9.1,6.5,7.8,23.4,35.1,5.2,9.1,21.6,29.4,51,39,38,49.4,50,27,35.1,1,77,20230630,2684050,1241550
1438641,10,0,20,10,0,30,10,10,20,75,75,150,5,5,50,-999,-999,-999,1,10,20230630,2684250,1241350
1426496,128,7.8,8.6,2.3,2.3,42.2,21.1,7,8.6,23.8,28.6,52.4,57,71,55.5,61,67,52.3,1,128,20230630,2684050,1241650
1435790,69,14.5,8.7,1.4,4.3,33.3,30.4,1.4,5.8,10.6,36.2,46.8,35,34,49.3,28,41,59.4,1,69,20230630,2684050,1241850
1426239,35,8.6,25.7,0,0,37.1,22.9,5.7,0,9.5,57.1,66.7,15,20,57.1,15,20,57.1,1,35,20230630,2684050,1241950
1435155,147,0.7,4.1,2,4.1,34.7,35.4,15,4.1,25.7,9.2,34.9,72,75,51,110,37,25.2,1,147,20230630,2684150,1245850
1417802,107,1.9,4.7,1.9,4.7,42.1,27.1,12.1,5.6,24.1,11.4,35.4,53,54,50.5,62,45,42.1,1,107,20230630,2684150,1246550
1443898,50,2,12,0,22,26,26,6,6,16.2,18.9,35.1,23,27,54,40,10,20,1,50,20230630,2684050,1247050
1435726,89,4.5,3.4,4.5,21.3,32.6,18,7.9,7.9,21.9,17.2,39.1,49,40,44.9,78,11,12.4,1,89,20230630,2684250,1247250
